Hora,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
2022/09/17/ 16:10:42,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:43,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:43,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:44,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-9,-19,0,37,1,134,30,130,0
2022/09/17/ 16:10:44,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-19,0,37,1,134,30,130,0
2022/09/17/ 16:10:45,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-9,-19,0,37,1,134,30,130,0
2022/09/17/ 16:10:45,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-9,-19,0,37,1,134,30,130,0
2022/09/17/ 16:10:46,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-9,-19,0,37,1,134,30,130,0
2022/09/17/ 16:10:46,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:47,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:47,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:48,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:48,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:49,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-9,-18,0,38,1,134,30,130,0
2022/09/17/ 16:10:49,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:50,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:50,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-9,-19,0,37,1,134,30,130,0
2022/09/17/ 16:10:51,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-9,-19,0,38,1,134,30,130,0
2022/09/17/ 16:10:51,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-19,0,37,1,134,30,130,0
2022/09/17/ 16:10:52,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-19,0,37,1,134,30,130,0
2022/09/17/ 16:10:52,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-9,-18,0,38,1,134,30,130,0
2022/09/17/ 16:10:53,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:53,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:54,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:54,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-18,0,37,1,134,30,130,0
