Hora,Antena,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,RSSI_2,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
2022/09/27/ 21:52:36,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-31,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:37,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-63,-31,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:37,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:38,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-32,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:38,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:39,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:39,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-32,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:40,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-32,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:40,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-32,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:41,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-32,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:41,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-32,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:42,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-63,-32,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:42,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-32,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:43,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-32,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:43,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-32,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:44,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-32,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:44,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-32,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:45,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-32,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:45,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-32,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:46,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-31,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:46,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-31,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:47,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-63,-32,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:47,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-32,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:48,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-63,-32,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:48,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:48,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-32,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:49,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-32,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:49,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:50,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,37,1,134,105,100,0
